Country,Port,Unlocode,Vessels In Port,Departures (last 24hrs),Arrivals (last 24hrs),Expected Arrivals,Local Time,Related Anchorage,Area Global,Area Local,latitude,longitude
China,SHANGHAI,CNSHG,2618,1097,1471,709,8,CJK,Central China,East China Sea,31.22847,121.49627
Singapore,SINGAPORE,SGSIN,1043,1654,1640,874,8,SINGAPORE ANCH,Indonesia,Singapore Area,1.30155,103.74224
Malaysia,PORT KLANG,MYPKG,137,55,63,114,8,PORT KLANG ANCH,Indonesia,Malacca Strait,3.02802,101.36368
United Arab Emirates,FUJAIRAH,AEFJR,112,159,153,151,4,FUJAIRAH ANCH,Arabian Gulf,Oman Gulf,25.12638,56.356
Nigeria,LAGOS,NGLOS,101,17,17,51,1,LAGOS ANCH,West Africa,Gulf of Guinea,6.43672,3.38966
Egypt,SUEZ CANAL,EGSUZ,79,25,70,321,2,SUEZ SOUTH ANCH,East Mediterranean,East Mediterranean,29.94283,32.56592
Sri Lanka,COLOMBO,LKCMB,73,21,25,44,5.5,COLOMBO ANCH,East Coast India,Laccadive Sea,6.94119,79.8428
South Africa,DURBAN,ZADUR,68,13,15,45,2,DURBAN ANCH,South Africa,South Africa,-29.88108,31.01967
Israel,HAIFA,ILHFA,59,13,6,19,2,HAIFA ANCH,East Mediterranean,East Mediterranean,32.81338,35.01136
Saudi Arabia,JEDDAH,SAJED,58,37,40,32,3,JEDDAH ANCH,Red Sea,Red Sea,21.46388,39.17029
India,KOCHI,INCOK,45,35,31,25,5.5,COCHIN ANCH,West Coast India,West Coast India,9.96772,76.2673
Kenya,MOMBASA,KEMBA,39,6,4,23,3,MOMBASA ANCH,East Africa,East Africa,-4.05997,39.64962
South Africa,RICHARDS BAY,ZARCB,37,9,9,27,2,RICHARDS BAY ANCH,South Africa,South Africa,-28.78947,32.04994
Togo,LOME,TGLFW,33,16,17,34,0,LOME ANCH,West Africa,Gulf of Guinea,6.13796,1.27344
Pakistan,KARACHI,PKKHI,25,26,17,25,5,KARACHI ANCH,West Coast India,West Coast India,24.83646,66.97609
Reunion,REUNION,REREU,25,20,18,17,4,REUNION ANCH,East Africa,East Africa,-20.93108,55.31133
Tanzania,DAR ES SALAAM,TZDAR,24,40,37,17,3,DAR ES SALAAM ANCH,East Africa,East Africa,-6.81982,39.28792
Egypt,PORT SAID,EGPSD,22,11,11,108,2,PORT SAID ANCH,East Mediterranean,East Mediterranean,31.24333,32.3009
Cameroon,DOUALA,CMDLA,21,13,9,11,1,DOUALA ANCH,West Africa,Gulf of Guinea,4.06603,9.70061
Maldives,MALE,MVMLE,20,24,27,4,5,MALE ANCH,West Coast India,West Coast India,4.1709,73.50295
Oman,SALALAH,OMSLL,18,16,16,26,4,SALALAH ANCH,Arabian Gulf,Arabian Gulf,16.93874,53.99858
Djibouti,DJIBOUTI,DJJIB,18,13,16,18,3,DJIBOUTI ANCH,East Africa,Gulf of Aden,11.6065,43.13937
Oman,DUQM,OMDQM,16,4,6,7,4,DUQM ANCH,Arabian Gulf,Arabian Gulf,19.65835,57.71183
Sudan,PORT SUDAN,SDPZU,15,9,10,3,3,PORT SUDAN ANCH,Red Sea,Red Sea,19.60101,37.22835
Sri Lanka,GALLE,LKGAL,14,13,12,23,5.5,GALLE ANCH,East Coast India,Laccadive Sea,6.03219,80.23298
India,DAHEJ,INDAH,14,3,2,12,5.5,BHAVNAGAR ANCH,West Coast India,West Coast India,21.75977,72.23132
Yemen,ADEN,YEADE,6,1,2,5,3,ADEN ANCH,East Africa,Gulf of Aden,29.72073,-95.2169
Oman,MUSCAT,OMOPQ,6,3,2,3,4,MUSCAT ANCH,Arabian Gulf,Oman Gulf,23.62772,58.56664
Jordan,AQABA,JOAQJ,4,6,7,8,2,AQABA ANCH,Red Sea,Red Sea,29.51308,34.99603
Egypt,SAFAGA,EGSGA,4,1,2,1,2,SAFAGA ANCH,Red Sea,Red Sea,26.74666,33.94636
Yemen,HUDAIDAH,YEHOD,4,0,0,0,3,HUDAIDAH ANCH,Red Sea,Red Sea,14.52085,49.15161
Israel,EILAT,ILETH,2,0,1,3,2,EILAT ANCH,Red Sea,Red Sea,29.55035,34.95878
Comoros,MORONI,KMYVA,0,1,0,6,3,MORONI ANCH,East Africa,East Africa,-11.70483,43.2477
